food,Energy,Protein,Total lipid (fat),Protein_per_100Cal,Fat_per_100Cal,category
"Nuts, pecans, halves, raw",724.87422,9.9587,73.28,1.3738521422378631,10.109340072819805,Nuts
"Nuts, pine nuts, raw",665.80314,15.7039,61.271,2.3586401229648755,9.202569996891272,Nuts
"Nuts, pistachio nuts, raw",579.3339900000001,20.5057,45.02,3.539529935055252,7.770992342431003,Nuts
"Nuts, walnuts, English, halves, raw",704.11017,14.5644,69.74,2.068483118202937,9.904699998865231,Nuts
"Oat milk, unsweetened, plain, refrigerated",48.3298,0.796875,2.749,1.6488274315225804,5.688002019457975,Cereals
"Oats, whole grain, rolled, old fashioned",380.2460615,13.49645,5.89,3.5493990251362537,1.5489969775794772,Cereals
"Oats, whole grain, steel cut",380.2280306,12.51118,5.8,3.2904412597507218,1.525400426382978,Cereals
"Oil, coconut",853.6666666666666,,99.1,,11.608746583365871,Other
"Olives, green, Manzanilla, stuffed with pimiento",133.66666666666666,1.15,12.9,0.8603491271820449,9.650872817955111,Other
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",290.0,4.52,14.4,1.5586206896551724,4.965517241379311,Other
"Onions, red, raw",43.333333333333336,0.94,0.1,2.169230769230769,0.2307692307692307,Other
"Onions, white, raw",34.666666666666664,0.89,0.13,2.5673076923076925,0.375,Other
"Onions, yellow, raw",37.333333333333336,0.83,0.05,2.223214285714285,0.1339285714285714,Other
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",46.474,0.734375,0.325,1.58018461935706,0.6993157464388692,Other
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",45.7335695,0.8125,0.3563,1.776594324219543,0.7790776095008284,Other
"Oranges, raw, navels",48.66666666666666,0.91,0.15,1.8698630136986305,0.3082191780821918,Other
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0,0.91,0.15,1.9361702127659572,0.3191489361702127,Other
"Parsnips, raw",87.0745,1.265625,0.5428875,1.4534967183274092,0.6234747256659526,Other
"Peaches, yellow, raw",43.333333333333336,0.91,0.27,2.1,0.6230769230769231,Other
"Peanut butter, creamy",610.5165030000001,23.99124,49.43,3.929662815355541,8.096423234606648,Nuts
"Peanut butter, smooth style, with salt",611.0,22.5,51.1,3.682487725040916,8.363338788870704,Nuts
"Peanuts, raw",569.476905,23.205,43.28,4.074792111191936,7.599957016694119,Other
"Pear, Anjou, green, with skin, raw",60.4908605,0.3125,0.3713,0.5166069674277488,0.6138117344189542,Other
"Pears, raw, bartlett",59.0,0.38,0.16,0.6440677966101694,0.2711864406779661,Other
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",57.0,0.38,0.16,0.6666666666666667,0.2807017543859649,Other
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",78.97196249999999,4.734375,1.153,5.995007405318059,1.4600118364793075,Other
"Peppers, banana or Hungarian wax, seeded, raw",23.9398,0.723125,0.1385666666666666,3.0205974987259707,0.5788129669699269,Other
"Peppers, bell, green, raw",21.310624,0.715,0.1063,3.355134040185777,0.4988122356248226,Other
"Peppers, bell, orange, raw",29.562351625,0.881875,0.1556,2.983101653030284,0.5263451364552937,Other
"Peppers, bell, red, raw",29.157015875,0.895625,0.1256,3.071730673123969,0.4307711068185574,Other
"Peppers, bell, yellow, raw",28.677670125,0.819375,0.1211,2.857188176126285,0.4222797719345759,Other
"Peppers, jalapeno, seeded, raw",24.1264,0.621125,0.1536,2.574462000132635,0.6366469925061343,Other
"Peppers, poblano, seeded, raw",27.9906,1.425625,0.19445,5.093227726451023,0.6946975055911628,Other
"Peppers, serrano, seeded, raw",29.233,0.855625,0.1408,2.926914788081962,0.4816474532206753,Other
"Pickles, cucumber, dill or kosher dill",12.666666666666666,0.48,0.43,3.789473684210527,3.394736842105264,Other
"Pineapple, raw",57.078948,0.4609375,0.2376625,0.80754379005023,0.4163750530230515,Other
"Plantains, overripe, raw",123.819665,1.166875,0.99,0.9423987700176704,0.7995498937911034,Other
"Plantains, ripe, raw",129.6314805,1.15625,0.8933,0.8919515503026288,0.6891073036846168,Other
"Plantains, underripe, raw",144.969916125,1.229375,0.685,0.848020770695607,0.4725118274948578,Other
"Plum, black, with skin, raw",55.7121975,0.578125,0.2825,1.037699150172635,0.5070702874357091,Other
"Pork, belly, with skin, raw",382.906125,15.2,35.83,3.96964138403375,9.357384920390082,Other
"Pork, chop, center cut, raw",141.446,22.8125,5.475,16.12806300637699,3.8707351215304784,Other
"Pork, cured, bacon, cooked, restaurant",504.3333333333333,40.9,36.5,8.109715796430931,7.237276933245209,Other
"Pork, ground, raw",230.8574295,17.80625,17.49,7.713093764651832,7.576104454546047,Other
"Pork, loin, boneless, raw",170.746035,21.11875,9.469,12.36851561443286,5.545663183335414,Other
"Pork, loin, tenderloin, boneless, raw",122.030085,21.58125,3.899,17.685188041948837,3.19511372953645,Other
"Potatoes, gold, without skin, raw",72.524514,1.8125,0.296725,2.4991549753783944,0.4091375227967747,Other
"Potatoes, red, without skin, raw",74.4654625,2.0625,0.2784375,2.7697404014646385,0.3739149541977262,Other
"Potatoes, russet, without skin, raw",82.18618125,2.27375,0.405,2.7665843155354053,0.4927835724208199,Other
"Radicchio, raw",26.3679,1.30875,0.1496833333333333,4.963421432878614,0.5676725614604625,Other
"Radishes, red, raw",19.60045,0.65625,0.081355,3.3481374152124057,0.4150670010127318,Other
"Raspberries, raw",54.3749625,1.008125,0.1875,1.8540242671431724,0.344827824019189,Other
"Restaurant, Chinese, fried rice, without meat",174.0,3.84,3.19,2.206896551724138,1.8333333333333333,Cereals
"Restaurant, Chinese, sweet and sour pork",260.0,8.88,13.6,3.415384615384616,5.230769230769231,Other
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,9.01,2.441048034934498,3.934497816593886,Other
"Restaurant, Latino, tamale, pork",174.0,7.38,9.04,4.241379310344827,5.195402298850574,Other
"Rice, black, unenriched, raw",365.254355,7.56875,3.4375555555555555,2.072186107130742,0.9411401968240888,Cereals
"Rice, brown, long grain, unenriched, raw",366.93823725,7.25305,3.306,1.9766405524694333,0.900969063561391,Cereals
"Rice, red, unenriched, dry, raw",364.913975,8.5625,3.4842857142857144,2.346443432318535,0.954823863428556,Cereals
"Rice, white, long grain, unenriched, raw",364.1711605,7.03885,1.033,1.93284113721026,0.2836578268805555,Cereals
"Sauce, pasta, spaghetti/marinara, ready-to-serve",47.0,1.41,1.48,3.0,3.148936170212766,Other
"Sauce, salsa, ready-to-serve",30.666666666666668,1.44,0.19,4.695652173913043,0.6195652173913043,Other
"Sausage, Italian, pork, mild, cooked, pan-fried",320.3333333333333,18.2,26.2,5.681581685744017,8.1789802289282,Other
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",333.8,13.3,28.7,3.9844218094667463,8.59796285200719,Other
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,28.1,5.578034682080925,8.121387283236995,Other
"Sausage, turkey, breakfast links, mild, raw",167.33333333333334,16.7,10.4,9.9800796812749,6.215139442231076,Poultry & Fish
"Scallops, bay, Patagonian, frozen, wild caught",78.456,16.3875,0.4223666666666667,20.887503823799324,0.5383484585840047,Other
"Scallops, sea, frozen, wild caught",66.3545,13.5125,0.4933285714285714,20.36410492129396,0.7434741749671407,Other
"Sea bass, Chilean, frozen, wild caught",209.3868,14.925,16.572142857142858,7.127956490093931,7.914607251814755,Other
"Seeds, pumpkin seeds (pepitas), raw",534.720585,29.9079,40.03,5.593182839594626,7.486152791368599,Other
"Seeds, sunflower seed kernels, dry roasted, with salt added",627.0,21.0,56.1,3.349282296650718,8.947368421052632,Other
"Seeds, sunflower seed, kernel, raw",590.0535,18.8733,48.44,3.198574366561676,8.209425077556526,Other
"Sesame butter, creamy",672.755934,19.7054,62.4,2.9290562898253083,9.27528050610996,Other
"Snapper, frozen, wild caught",89.538,20.6625,0.5691714285714286,23.076794210279434,0.6356758343624256,Other
"Snow crab, legs only, frozen  ",69.223,15.5375,0.2941714285714286,22.445574447799142,0.4249619758915802,Other
"Sorghum bran, white, unenriched, dry, raw",383.645125,11.16875,9.258625,2.911219059541027,2.413330548641795,Other
"Sorghum flour, white, pearled, unenriched, dry, raw",356.7880075,10.2125,3.237555555555556,2.862343964854256,0.9074171461762364,Other
"Sorghum grain, white, pearled, unenriched, dry, raw",354.131355,10.25,3.265,2.894406229575464,0.9219742770306232,Other
"Sorghum, whole grain, white, dry, raw",356.79009,10.08125,4.223625,2.825540922395014,1.1837842805555503,Other
"Soy milk, sweetened, plain, refrigerated",40.705,2.776875,1.957,6.8219506203169145,4.807763174057242,Soya
"Soy milk, unsweetened, plain, shelf stable",38.485,3.546875,2.125,9.216253085617772,5.521631804599195,Soya
"Spinach, baby",23.665255625,2.851875,0.6188,12.050894548492757,2.614803785792616,Other
"Spinach, mature",24.60484875,2.90625,0.6044,11.8116962616972,2.456426398475626,Other
"Squash, summer, green, zucchini, includes skin, raw",17.5,0.984375,0.205,5.625,1.1714285714285713,Other
"Squash, summer, yellow, includes skin, raw",20.5,0.890625,0.135,4.344512195121951,0.6585365853658537,Other
"Squash, winter, acorn, raw",45.2768125,1.25,0.1825,2.7607950537595816,0.4030760778488989,Other
"Squash, winter, butternut, raw",44.92441075,1.14875,0.1675,2.557073049644841,0.3728485186642097,Other
"Squid (calamari), frozen, tubes only",43.9108,8.80625,0.5508285714285714,20.05486121865236,1.2544261808679675,Other
"Strawberries, raw",33.21313,0.6403125000000001,0.22,1.9278896629134328,0.6623886396735267,Other
"Sugars, granulated",390.3333333333333,,0.32,,0.0819812126387702,Other
